geocode,etiqueta,granularidad,gcd_iata,gcd_icao,longitud,latitud,geohash
DE_EDQM,Aeropuerto de Hof-Plauen,AEROPUERTOS,HOQ,EDQM,11.856389,50.288612,u2bqjfc83u
DE_EDRB,Base Aérea Bitburg,AEROPUERTOS,BBJ,EDRB,6.565,49.945278,u0usjkk2rd
DE_EDRK,Aeródromo Koblenz-Winningen,AEROPUERTOS,,EDRK,7.528611,50.325558,u0vq736pt7
DE_EDRS,Aeropuerto de Bad Sobernheim-Domberg,AEROPUERTOS,,EDRS,7.666111,49.790833,u0v7q2nk9k
DE_EDRT,Aeropuerto de Trier-Föhren,AEROPUERTOS,,EDRT,6.7875,49.863888,u0ugdmqw0n
DE_EDRY,Aeródromo Speyer,AEROPUERTOS,,EDRY,8.451389,49.304722,u0y02rdhgd
DE_EDRZ,Aeropuerto de Zweibrücken,AEROPUERTOS,ZQW,EDRZ,7.40056,49.2094,u0trbqkct9
DE_EDSB,Aeropuerto de Karlsruhe Baden-Baden,AEROPUERTOS,FKB,EDSB,8.0805,48.7794,u0ttxbh097
DE_EDTB,Aeropuerto de Baden-Oos,AEROPUERTOS,,EDTB,8.185833,48.791943,u0tvd629xt
DE_EDTD,Aeropuerto de Donaueschingen-Villingen,AEROPUERTOS,ZQL,EDTD,8.522222,47.973331,u0w0cvm8yj
DE_EDTF,Aeropuerto de Freiburg i. Br.,AEROPUERTOS,,EDTF,7.8325,48.022778,u0t94nr2yq
DE_EDTG,Aeródromo Bremgarten,AEROPUERTOS,,EDTG,7.617778,47.902779,u0t2t27jgj
DE_EDTK,Aeródromo Sinsheim,AEROPUERTOS,,EDTK,8.3355,48.9843,u0tyttmdpp
DE_EDTL,Aeropuerto de Lahr,AEROPUERTOS,LHA,EDTL,7.82772,48.369301,u0te4j7gx5
DE_EDTM,Aeropuerto de Mengen-Hohentengen,AEROPUERTOS,,EDTM,9.372778,48.05389,u0w9m7cn1w
DE_EDTO,Aeropuerto de Offenburg,AEROPUERTOS,,EDTO,7.924722,48.450001,u0tesk49eq
DE_EDTY,Aeropuerto de Adolf Würth,AEROPUERTOS,,EDTY,9.783889,49.118332,u0wzqtsrj0
DE_EDTZ,Aeropuerto de Konstanz,AEROPUERTOS,,EDTZ,9.137222,47.681946,u0qrrbjx2w
DE_EDUL,Base Aérea Laarbruch,AEROPUERTOS,,EDUL,6.142222,51.6025,u1hmecbwk5
DE_EDVE,Aeropuerto de Braunschweig-Wolfsburg,AEROPUERTOS,BWE,EDVE,10.5561,52.319199,u1r98hqtqv
DE_EDVK,Aeropuerto de Kassel-Calden,AEROPUERTOS,KSF,EDVK,9.384967,51.417273,u1nst81zmd
DE_EDVL,Aeropuerto de Hölleberg,AEROPUERTOS,,EDVL,9.3975,51.610832,u1nttg7ncs
DE_EDVM,Aeropuerto de Hildesheim,AEROPUERTOS,,EDVM,9.946389,52.181389,u1r0f76dxe
DE_EDWB,Aeropuerto de Bremerhaven,AEROPUERTOS,BRV,EDWB,8.572778,53.506943,u1w07hds81
DE_EDWD,Aeropuerto de Lemwerder,AEROPUERTOS,XLW,EDWD,8.62444,53.144699,u1qnk68nk1
DE_EDWE,Aeropuerto de Emden,AEROPUERTOS,EME,EDWE,7.2275,53.391109,u1mpsrwcub
DE_EDWG,Aeropuerto de Wangerooge,AEROPUERTOS,AGE,EDWG,7.913889,53.78278,u1t9unfequ
DE_EDWI,Aeropuerto de Wilhelmshaven-Mariensiel,AEROPUERTOS,WVN,EDWI,8.052222,53.50222,u1t8r5z3n2
DE_EDWJ,Aeropuerto de Juist,AEROPUERTOS,JUI,EDWJ,7.055833,53.68111,u1t12s3ghu
DE_EDWL,Aeropuerto de Langeoog,AEROPUERTOS,LGO,EDWL,7.497778,53.7425,u1t3dxe8yb
DE_EDWR,Aeropuerto de Borkum,AEROPUERTOS,BMK,EDWR,6.709167,53.59639,u1sbbsvmwg
DE_EDWS,Aeropuerto de Norden-Norddeich,AEROPUERTOS,NOD,EDWS,7.190278,53.633057,u1t15eeg1w
DE_EDWY,Aeropuerto de Norderney,AEROPUERTOS,NRD,EDWY,7.23,53.706944,u1t1s909xh
DE_EDXB,Aeropuerto de Heide-Büsum,AEROPUERTOS,HEI,EDXB,8.901667,54.153332,u1wk4d3fpb
DE_EDXF,Aeropuerto de Flensburg-Schäferhaus,AEROPUERTOS,FLF,EDXF,9.378889,54.773335,u1wxt7jmzc
DE_EDXH,Aeropuerto de Helgoland-Düne,AEROPUERTOS,HGL,EDXH,7.915833,54.18528,u1tsk0hhhk
DE_EDXO,Aeropuerto de St. Peter-Ording,AEROPUERTOS,PSH,EDXO,8.686944,54.308887,u1whvwtshq
DE_EDXP,Aeropuerto de Harle,AEROPUERTOS,,EDXP,7.820278,53.706669,u1t99cn818
DE_EDXW,Aeropuerto de Westerland Sylt,AEROPUERTOS,GWT,EDXW,8.34047,54.9132,u1vbmu9ke4
DE_EDXY,Aeropuerto de Wyk auf Föhr,AEROPUERTOS,OHR,EDXY,8.528333,54.684444,u1wp44fpux
DE_ETAD,Base Aérea Spangdahlem,AEROPUERTOS,SPM,ETAD,6.6925,49.972698,u0uu23324d
DE_ETAR,Base Aérea Ramstein,AEROPUERTOS,RMS,ETAR,7.60028,49.436901,u0v3hzwqg6
DE_ETEF,Helipuerto Babenhausen,AEROPUERTOS,,ETEF,,,
DE_ETIE,Helipuerto Militar Heidelberg,AEROPUERTOS,HDB,ETIE,8.65208,49.393501,u0y0uzu3bp
DE_ETMN,Base Aérea Naval Nordholz,AEROPUERTOS,FCN,ETMN,8.6585,53.7677,u1w1vh0gt9
DE_ETND,Base Aérea Diepholz,AEROPUERTOS,,ETND,8.342222,52.585556,u1mgjuft5f
DE_ETNG,Base Aérea Geilenkirchen,AEROPUERTOS,GKE,ETNG,6.04242,50.9608,u1h3cmpunt
DE_ETNH,Base Aérea Hohn,AEROPUERTOS,,ETNH,9.53817,54.312199,u1wucp1rrr
DE_ETNK,Base Aérea Cologne Bonn,AEROPUERTOS,,ETNK,,,
DE_ETNL,Aeropuerto de Rostock-Laage,AEROPUERTOS,RLG,ETNL,12.2783,53.918201,u38dxrsb31
DE_ETNS,Base Aérea Schleswig,AEROPUERTOS,WBG,ETNS,9.51633,54.459301,u1wvbd186t
DE_ETNT,Aeropuerto de Wittmundhafen,AEROPUERTOS,,ETNT,7.66733,53.547798,u1t2wkp4t9
DE_ETNW,Base Aérea Wunstorf,AEROPUERTOS,,ETNW,9.42717,52.457298,u1qdqt89uv
DE_ETOC,Base Aérea Stuttgart,AEROPUERTOS,,ETOC,,,
DE_ETOU,Base Aérea Wiesbaden,AEROPUERTOS,WIE,ETOU,8.3254,50.049801,u0vutrq35z
DE_ETSA,Base Aérea Landsberg Lech,AEROPUERTOS,,ETSA,10.906,48.070599,u0xc2nvx81
DE_ETSI,Aeropuerto de Ingolstadt Manching,AEROPUERTOS,IGS,ETSI,11.534,48.715698,u28jnkqv98
DE_ETSL,Base Aérea Lechfeld,AEROPUERTOS,,ETSL,10.8612,48.185504,u0xdp5uuuk
DE_ETUO,Base Aérea Gütersloh,AEROPUERTOS,GUT,ETUO,8.30633,51.922798,u1jzmh22px
DJ_HDAM,Aeropuerto de Djibouti-Ambouli,AEROPUERTOS,JIB,HDAM,43.1595,11.5473,sfn9wn5gch
DK_EKAE,Aeropuerto de Ærø,AEROPUERTOS,,EKAE,10.4564,54.852798,u1z2jcwhey
DK_EKAH,Aeropuerto de Aarhus,AEROPUERTOS,AAR,EKAH,10.619,56.299999,u4p839he28
DK_EKBI,Aeropuerto de Billund,AEROPUERTOS,BLL,EKBI,9.15178,55.740299,u1yt070ngb
DK_EKCH,Aeropuerto Internacional Copenhagen Kastrup,AEROPUERTOS,CPH,EKCH,12.656,55.617901,u3buruzvf0
DK_EKEB,Aeropuerto de Esbjerg,AEROPUERTOS,EBJ,EKEB,8.5534,55.525902,u1y5fshmud
DK_EKKA,Aeropuerto de Karup,AEROPUERTOS,KRP,EKKA,9.12463,56.297501,u4n2r8skeq
DK_EKOD,Aeropuerto de Odense,AEROPUERTOS,ODE,EKOD,10.3309,55.4767,u1z7e54xpq
DK_EKRK,Aeropuerto de Copenhagen Roskilde,AEROPUERTOS,RKE,EKRK,12.1314,55.585602,u3bshp1cd5
DK_EKRN,Aeropuerto de Bornholm,AEROPUERTOS,RNN,EKRN,14.7596,55.063301,u3f3pzgwgx
DK_EKSB,Aeropuerto de Sonderborg,AEROPUERTOS,SGD,EKSB,9.79173,54.964401,u1ybwvfngf
DK_EKSN,Aeropuerto de Sindal,AEROPUERTOS,CNL,EKSN,10.2294,57.503502,u4pr0u0y4m
DK_EKSP,Base Aérea Skrydstrup,AEROPUERTOS,SKS,EKSP,9.26702,55.221048,u1yd4usjcj
DK_EKSV,Aeropuerto de Skive,AEROPUERTOS,SQW,EKSV,9.17298,56.550201,u4n98wxscc
DK_EKTS,Aeropuerto de Thisted,AEROPUERTOS,TED,EKTS,8.70522,57.068802,u4nhwj4cy7
DK_EKVG,Aeropuerto de Vagar,AEROPUERTOS,FAE,EKVG,-7.27722,62.063599,gg4c46kfsm
DK_EKVH,Aeródromo Vesthimmerlands,AEROPUERTOS,,EKVH,9.45861,56.846901,u4nerhxt1w
DK_EKVJ,Aeropuerto de Stauning,AEROPUERTOS,STA,EKVJ,8.35391,55.990101,u1vyw0ejup
DK_EKVL,Base Aérea Vaerlose,AEROPUERTOS,,EKVL,12.3239,55.769501,u3bv22tbzs
DK_EKYT,Aeropuerto de Aalborg,AEROPUERTOS,AAL,EKYT,9.849243,57.092759,u4phb17vrv
DM_TDCF,Aeropuerto de Canefield,AEROPUERTOS,DCF,TDCF,-61.3922,15.3367,ddsr4zzwf0
DM_TDPD,Aeropuerto de Douglas-Charles,AEROPUERTOS,DOM,TDPD,-61.299999,15.547,ddu2mn4xy6
DO_MDBC,Aeropuerto de La Romana Batey Cacata,AEROPUERTOS,,MDBC,-68.915901,18.4797,d7qcpu0up1
DO_MDCY,Aeropuerto Internacional Samaná El Catey,AEROPUERTOS,AZS,MDCY,-69.741997,19.267,d7qmsgrqmt
DO_MDHE,Aeropuerto de Herrera,AEROPUERTOS,HEX,MDHE,-69.969398,18.4697,d7q1pf3cfc
DO_MDLR,Aeropuerto Internacional Casa De Campo,AEROPUERTOS,LRM,MDLR,-68.911797,18.450701,d7qbzyggne
DO_MDPC,Aeropuerto Internacional Punta Cana,AEROPUERTOS,PUJ,MDPC,-68.363403,18.5674,d7r3sk56cq
DO_MDPP,Aeropuerto Internacional Gregorio Luperon,AEROPUERTOS,POP,MDPP,-70.57,19.7579,d7tb6hu6pg
DO_MDSD,Aeropuerto Internacional Las Américas,AEROPUERTOS,SDQ,MDSD,-69.6689,18.429701,d7q2yeh8uc
DZ_DAAE,Aeropuerto de Soummam,AEROPUERTOS,BJA,DAAE,5.06992,36.712002,sne8g75yct
DZ_DAAG,Aeropuerto de Houari Boumediene,AEROPUERTOS,ALG,DAAG,3.21541,36.691002,snd29pmks6
DZ_DAAK,Aeropuerto de Boufarik,AEROPUERTOS,,DAAK,2.87611,36.545799,sn6pckyqdn
DZ_DAAS,Aeropuerto de Ain Arnat,AEROPUERTOS,QSF,DAAS,5.32449,36.178101,sn7vc4j0tw
DZ_DAAT,Aeropuerto de Aguenar – Hadj Bey Akhamok,AEROPUERTOS,TMR,DAAT,5.45108,22.811501,sh5cu09qe7
DZ_DABB,Aeropuerto de Rabah Bitat,AEROPUERTOS,AAE,DABB,7.809174,36.822201,snt93xq2yg
DZ_DABC,Aeropuerto Internacional Mohamed Boudiaf,AEROPUERTOS,CZL,DABC,6.62039,36.276001,snkwqeug42
DZ_DABT,Aeropuerto de Batna,AEROPUERTOS,BLJ,DABT,6.30859,35.752102,snk7rs3z0f
DZ_DAOF,Aeropuerto de Tindouf,AEROPUERTOS,TIN,DAOF,-8.1671,27.700399,eufjw4sysb
DZ_DAON,Aeropuerto de Zenata – Messali El Hadj,AEROPUERTOS,TLM,DAON,-1.45,35.016701,eynzpn85hd
DZ_DAOO,Aeropuerto de Es Senia,AEROPUERTOS,ORN,DAOO,-0.621183,35.623901,eyrd9v5sm2
DZ_DAUG,Aeropuerto de Noumérat - Moufdi Zakaria,AEROPUERTOS,GHA,DAUG,3.79411,32.384102,sjf8nr6g14
DZ_DAUH,Aeropuerto de Oued Irara,AEROPUERTOS,HME,DAUH,6.14044,31.673,sjsk5tzkde
DZ_DAUU,Aeropuerto de Ain el Beida,AEROPUERTOS,OGX,DAUU,5.41278,31.9172,sjeve4m7nv
DZ_DAUZ,Aeropuerto de In Aménas,AEROPUERTOS,IAM,DAUZ,9.64291,28.0515,shyze6tgb4
EC_SEGU,Aeropuerto Internacional José Joaquín de Olmedo,AEROPUERTOS,GYE,SEGU,-79.883598,-2.15742,6px5wpq817
EC_SELT,Aeropuerto Internacional Cotopaxi,AEROPUERTOS,LTX,SELT,-78.615799,-0.906833,6rb4g4ctr4
EC_SEQM,Aeropuerto Internacional Mariscal Sucre,AEROPUERTOS,UIO,SEQM,-78.3575,-0.129167,6rbr2bmz9c
EE_EECL,Helipuerto Tallinn Linnahall,AEROPUERTOS,,EECL,24.753227,59.44862,ud9d5q29rc
EE_EEKA,Aeropuerto de Kärdla,AEROPUERTOS,KDL,EEKA,22.8307,58.990799,ud2pxdby3c
EE_EEKE,Aeropuerto de Kuressaare,AEROPUERTOS,URE,EEKE,22.509501,58.2299,ud2520qvv2
EE_EEPU,Aeropuerto de Pärnu,AEROPUERTOS,EPU,EEPU,24.472799,58.418999,ud3kkfue3d
EE_EETN,Aeropuerto de Lennart Meri Tallinn,AEROPUERTOS,TLL,EETN,24.8328,59.4133,ud99vpfew1
EE_EETU,Aeropuerto de Tartu,AEROPUERTOS,TAY,EETU,26.690399,58.307499,ud6gxqe3g3
EG_HEAL,Aeropuerto Internacional El Alamein,AEROPUERTOS,DBB,HEAL,28.461399,30.9245,stkpztsuq8
EG_HEAR,Aeropuerto Internacional El Arish,AEROPUERTOS,AAC,HEAR,33.8358,31.073299,sv80cbwrp6
EG_HEBA,Aeropuerto Internacional Borg El Arab,AEROPUERTOS,HBE,HEBA,29.6964,30.9177,stmpgu2k8m
EG_HECA,Aeropuerto Internacional Cairo,AEROPUERTOS,CAI,HECA,31.4056,30.121901,stq76esbg9
EG_HEGN,Aeropuerto Internacional Hurghada,AEROPUERTOS,HRG,HEGN,33.7994,27.178301,sub495evp4
EG_HELX,Aeropuerto Internacional Luxor,AEROPUERTOS,LXR,HELX,32.7066,25.671,ssx60320rj
EG_HEMA,Aeropuerto Internacional Marsa Alam,AEROPUERTOS,RMF,HEMA,34.583698,25.5571,su896ux0fs
EG_HESH,Aeropuerto Internacional Sharm El Sheikh,AEROPUERTOS,SSH,HESH,34.395,27.977301,subrntjetd
EG_HESN,Aeropuerto Internacional Aswan,AEROPUERTOS,ASW,HESN,32.82,23.964399,ssr26fdf9r
EG_HETB,Aeropuerto Internacional Taba,AEROPUERTOS,TCP,HETB,34.778099,29.587799,sv28r6k9km
ER_HHAA,Aeropuerto Internacional Asmara,AEROPUERTOS,,HHAA,,,
ES_GC_ES704A,Helipuerto Hospital General de Fuerteventura Virgen de la Peña,AEROPUERTOS,,GC_ES704A,-13.869835,28.489435,etn4h6k6cr
ES_GC_ES705A,Helipuerto Hospital Universitario de Gran Canaria Doctor Negrín,AEROPUERTOS,,GC_ES705A,-15.444598,28.12219,esvpbx3xdu
ES_GC_ES705B,Helipuerto de La Aldea,AEROPUERTOS,,GC_ES705B,-15.817152,28.004304,esuz2442cs
ES_GC_ES705C,Helipuerto Puerto de La Luz de Gran Canaria,AEROPUERTOS,,GC_ES705C,-15.425649,28.135087,etj00cz6u2
ES_GC_ES708A,Helipuerto de La Graciosa,AEROPUERTOS,,GC_ES708A,-13.51157,29.229401,etnqk911te
ES_GC_ES709A,Helipuerto Puerto de Santa Cruz de Tenerife,AEROPUERTOS,,GC_ES709A,-16.244074,28.468417,eth3yqe2t9
ES_GCAD,Helipuerto Adeje,AEROPUERTOS,,GCAD,-16.743454,28.124176,esupfzzg1n
ES_GCAR,Helipuerto Artenara,AEROPUERTOS,,GCAR,-15.65556,28.022308,esuz7trcz0
ES_GCAT,Helipuerto El Jarde,AEROPUERTOS,,GCAT,-13.984678,28.391969,etn19b8ejq
ES_GCDC,Helipuerto Hospital Universitario Nuestra Señora de Candelaria,AEROPUERTOS,,GCDC,-16.285304,28.448729,eth3v6vmug
ES_GCFV,Aeropuerto de Fuerteventura,AEROPUERTOS,FUE,GCFV,-13.8638,28.4527,etn1ue8syp
ES_GCGC,Aeropuerto de Gran Canaria (MET),AEROPUERTOS,,GCGC,,,
ES_GCGM,Aeropuerto de La Gomera,AEROPUERTOS,GMZ,GCGM,-17.2146,28.0296,esgz2q8sq8
ES_GCGO,Helipuerto de San Sebastián de La Gomera,AEROPUERTOS,,GCGO,-17.1024,28.0972,esgzfffqj1
ES_GCHG,Helipuerto Hospital Universitario Insular de Gran Canaria,AEROPUERTOS,,GCHG,-15.418436,28.082885,esvpc0kdsm
ES_GCHI,Aeropuerto de Hierro,AEROPUERTOS,VDE,GCHI,-17.8871,27.8148,esgq0zx0bq
ES_GCHU,Helipuerto Hospital Universitario de Canarias,AEROPUERTOS,,GCHU,-16.292101,28.4562,eth3vk23qs
ES_GCLA,Aeropuerto de La Palma,AEROPUERTOS,SPC,GCLA,-17.7556,28.626499,et56ggqc2w
ES_GCLB,Aeródromo El Berriel,AEROPUERTOS,,GCLB,-15.5072,27.782499,esuyp1shb1
ES_GCLG,Helipuerto La Guancha Heliport,AEROPUERTOS,,GCLG,-16.650261,28.377411,eth1mjgwku
ES_GCLP,Aeropuerto de Gran Canaria,AEROPUERTOS,LPA,GCLP,-15.3866,27.9319,esvncugg45
ES_GCMP,Helipuerto de Maspalomas (Estación espacial),AEROPUERTOS,,GCMP,-15.633655,27.762898,esuvunpft7
ES_GCPU,Helipuerto Puntagorda,AEROPUERTOS,,GCPU,-17.995713,28.778583,et55wqzzmk
ES_GCRR,Aeropuerto de Lanzarote,AEROPUERTOS,ACE,GCRR,-13.6052,28.945499,etnkdmkgzb
ES_GCTS,Aeropuerto de Tenerife South,AEROPUERTOS,TFS,GCTS,-16.5725,28.0445,esupwck70c
ES_GCXM,Base Aérea Tenerife Norte,AEROPUERTOS,,GCXM,-16.352381,28.483092,eth65chw1c
ES_GCXO,Aeropuerto de Tenerife Norte,AEROPUERTOS,TFN,GCXO,-16.341499,28.4827,eth6h1h7z2
ES_GECT,Helipuerto de Ceuta,AEROPUERTOS,,GECT,,,
ES_GEHM,Helipuerto de Melilla,AEROPUERTOS,,GEHM,,,
ES_GEML,Aeropuerto de Melilla,AEROPUERTOS,MLN,GEML,-2.95626,35.2798,eymbswrrdp
ES_LE_ES618A,Aeródromo Martinez Ridao,AEROPUERTOS,,LE_ES618A,-5.800296,37.157565,eyegkh26e2
ES_LEAB,Aeropuerto de Albacete-Los Llanos,AEROPUERTOS,ABC,LEAB,-1.86352,38.948502,eyyttd752z
ES_LEAL,Aeropuerto Internacional de Alicante,AEROPUERTOS,ALC,LEAL,-0.558156,38.2822,eyz9g319fp
ES_LEAM,Aeropuerto Internacional de Almería,AEROPUERTOS,LEI,LEAM,-2.3701,36.843899,eyw3d54pk8
ES_LEAP,Aeródromo Ampuriabrava,AEROPUERTOS,,LEAP,3.109722,42.259998,spd0qv0qmf
ES_LEAS,Aeropuerto de Asturias,AEROPUERTOS,OVD,LEAS,-6.03462,43.563599,ezexydt8r5
ES_LEAT,Aeropuerto Internacional Campo de Vuelo de Astorga,AEROPUERTOS,,LEAT,0.65,41.549999,sp2kqgcq61
ES_LEAX,Aeropuerto de La Axarquía-Leoni Benabu,AEROPUERTOS,,LEAX,-4.135556,36.801666,eyt13gs94x
ES_LEBA,Aeropuerto de Córdoba,AEROPUERTOS,ODB,LEBA,-4.84888,37.841999,eysx38vjsg
ES_LEBB,Aeropuerto de Bilbao,AEROPUERTOS,BIO,LEBB,-2.91061,43.301102,eztymf8x1y
ES_LEBG,Aeropuerto de Burgos,AEROPUERTOS,RGS,LEBG,-3.62076,42.357601,ezt2vwgqyj
ES_LEBL,Aeropuerto Internacional de Barcelona,AEROPUERTOS,BCN,LEBL,2.07846,41.2971,sp36zmcmp9
ES_LEBT,Base Aérea Valencia-Bétera,AEROPUERTOS,,LEBT,-0.472576,39.62447,ezp9mjrvk0
ES_LEBZ,Aeropuerto de Badajoz,AEROPUERTOS,BJZ,LEBZ,-6.82133,38.8913,eygjhzby5r
ES_LECD,Aeropuerto de La Cerdanya,AEROPUERTOS,,LECD,1.86667,42.386398,sp934kpq8t
ES_LECH,Aeropuerto de Castellón-Costa Azahar,AEROPUERTOS,CDT,LECH,0.073333,40.213889,sp0hc8tquu
ES_LECL,Valencia TACC,AEROPUERTOS,,LECL,,,
ES_LECN,Aeropuerto de Castellon De La Plana,AEROPUERTOS,,LECN,0.026111,39.999199,sp0589eh0r
ES_LECO,Aeropuerto de A Coruña,AEROPUERTOS,LCG,LECO,-8.37726,43.302101,ezdn36gv58
ES_LECP,Palma TACC,AEROPUERTOS,,LECP,,,
ES_LECT,Aeropuerto de El Castaño,AEROPUERTOS,,LECT,-4.38636,39.0107,eyuvujtvy3
ES_LECU,Aeropuerto de Cuatro Vientos,AEROPUERTOS,ECV,LECU,-3.78514,40.370701,ezjm9v78ru
ES_LECV,Base Aérea de Colmenar Viejo,AEROPUERTOS,,LECV,-3.763255,40.697296,ezjrd2ewvv
ES_LEDA,Aeropuerto de Lleida-Alguaire,AEROPUERTOS,ILD,LEDA,0.535023,41.728185,sp2mkhms6c
ES_LEGA,Base Aérea Armilla,AEROPUERTOS,,LEGA,-3.63569,37.133202,eyt7jrbsd6
ES_LEGC,Aeropuerto de Altarejos-Guadalcanal,AEROPUERTOS,,LEGC,-5.73953,38.1717,eygcjkuw72
ES_LEGE,Aeropuerto de Girona,AEROPUERTOS,GRO,LEGE,2.76055,41.901001,sp3yqgf5j2
ES_LEGR,Aeropuerto de Federico Garcia Lorca,AEROPUERTOS,GRX,LEGR,-3.77736,37.188702,eyt7d1crvh
ES_LEGT,Base Aérea Getafe,AEROPUERTOS,,LEGT,-3.72383,40.294102,ezjm5r26hm
ES_LEHC,Aeropuerto de Huesca/Pirineos,AEROPUERTOS,HSK,LEHC,-0.316667,42.076099,ezrz2g9rj1
ES_LEIB,Aeropuerto de Ibiza,AEROPUERTOS,IBZ,LEIB,1.37312,38.872898,snbvphxgh1
ES_LEIZ,Aeropuerto de La Perdiz - Torre De Juan Abad,AEROPUERTOS,,LEIZ,-3.36433,38.5131,eyve57n5j6
ES_LEJR,Aeropuerto de Jerez,AEROPUERTOS,XRY,LEJR,-6.06011,36.744598,eye9n15hv1
ES_LEJU,Aeropuerto de La Juliana,AEROPUERTOS,,LEJU,-6.1625,37.294998,eyes5v2e57
ES_LELC,Aeropuerto de San Javier,AEROPUERTOS,MJV,LELC,-0.812389,37.775002,eyxqvs8rmf
ES_LELL,Aeropuerto de Sabadell,AEROPUERTOS,QSA,LELL,2.10508,41.520901,sp3kpysugb
ES_LELN,Aeropuerto de Leon,AEROPUERTOS,LEN,LELN,-5.65556,42.589001,ezefr31dzv
ES_LELO,Base Aérea Logroño-Agoncillo,AEROPUERTOS,,LELO,-2.322235,42.460953,ezw3e1v0bp
ES_LELU,Helipuerto de Miluce Navarra,AEROPUERTOS,,LELU,,,
ES_LEMD,Aeropuerto de Adolfo Suárez Madrid–Barajas,AEROPUERTOS,MAD,LEMD,-3.56264,40.471926,ezjqnzty03
ES_LEMG,Aeropuerto de Málaga,AEROPUERTOS,AGP,LEMG,-4.49911,36.6749,eysb9s7yg0
ES_LEMH,Aeropuerto de Menorca,AEROPUERTOS,MAH,LEMH,4.21865,39.862598,sp4fzbzbmw
ES_LEMI,Aeropuerto Internacional Región de Murcia,AEROPUERTOS,RMU,LEMI,-1.125,37.803,eyxpn3uf3t
ES_LEMO,Base Aérea Moron,AEROPUERTOS,OZP,LEMO,-5.61594,37.1749,eys52pqx7p
ES_LEMP,Aeropuerto de Los Martínez Del Puerto,AEROPUERTOS,,LEMP,-1.097667,37.836817,eyxpppbxqt
ES_LEMR,Aeropuerto de La Morgal,AEROPUERTOS,,LEMR,-5.83056,43.429199,ezez56436j
ES_LEMS,Aeropuerto de Manresa,AEROPUERTOS,,LEMS,1.86167,41.765301,sp3md75ss0
ES_LEMT,Aeropuerto de Casarrubios Del Monte,AEROPUERTOS,,LEMT,-4.02639,40.235001,ezjhuks1f7
ES_LEMU,Aeropuerto de Muchamiel,AEROPUERTOS,,LEMU,-0.475278,38.440601,eyzdtjvutp
ES_LEOC,Aeropuerto de Ocaña,AEROPUERTOS,,LEOC,-3.50333,39.9375,ezje0q2uy3
ES_LEPA,Aeropuerto de Palma De Mallorca,AEROPUERTOS,PMI,LEPA,2.73881,39.551701,sp1cn24m6g
ES_LEPI,Aeropuerto de Casas de los Pinos,AEROPUERTOS,,LEPI,-2.37872,39.298199,eyyr9f5beg
ES_LEPP,Aeropuerto de Pamplona,AEROPUERTOS,PNA,LEPP,-1.64633,42.77,ezwg6d11m9
ES_LEPR,Aeropuerto de Palma Del Río,AEROPUERTOS,,LEPR,-5.21356,37.715302,eysq93gee1
ES_LERI,Base Aérea Alcantarilla,AEROPUERTOS,,LERI,-1.23032,37.951099,eyxpuhb15m
ES_LERJ,Aeropuerto de Logroño-Agoncillo,AEROPUERTOS,RJL,LERJ,-2.322235,42.460953,ezw3e1v0bp
ES_LERL,Aeropuerto de Ciudad Real Central,AEROPUERTOS,CQM,LERL,-3.97,38.856389,eyvjj9t4u7
ES_LERM,Aeropuerto de Robledillo De Mohernando,AEROPUERTOS,,LERM,-3.24778,40.865299,ezm8qp7195
ES_LERS,Base Aérea Reus,AEROPUERTOS,REU,LERS,1.16717,41.1474,sp2f4d9uvp
ES_LERT,Base Aérea Rota Naval,AEROPUERTOS,ROZ,LERT,-6.34946,36.645199,eye2rx03yb
ES_LESA,Aeropuerto de Salamanca,AEROPUERTOS,SLM,LESA,-5.50199,40.952099,ezk0fz1e62
ES_LESB,Aeropuerto de Son Bonet,AEROPUERTOS,,LESB,2.70278,39.5989,sp1cm8b073
ES_LESJ,Base Aérea Palma Son San Juan,AEROPUERTOS,,LESJ,2.741194,39.555111,sp1cn2u14r
ES_LESO,Aeropuerto de San Sebastian,AEROPUERTOS,EAS,LESO,-1.79061,43.356499,ezwwxkb1gv
ES_LEST,Aeropuerto de Santiago de Compostela,AEROPUERTOS,SCQ,LEST,-8.41514,42.896301,ezdh090314
ES_LESU,Aeropuerto de Pirineus - la Seu d'Urgel,AEROPUERTOS,LEU,LESU,1.40917,42.3386,sp90b5d0hp
ES_LETF,Aeropuerto de Tomás Fernández Espada,AEROPUERTOS,,LETF,-5.648775,36.871793,eyecz2q9y0
ES_LETJ,Aeródromo Trebujena,AEROPUERTOS,,LETJ,-6.139167,36.858889,eye9smcwe4
ES_LETL,Aeropuerto de Teruel,AEROPUERTOS,TEV,LETL,-1.2183,40.403,ezpju70ue9
ES_LETO,Aeropuerto de Torrejón,AEROPUERTOS,TOJ,LETO,-3.44587,40.4967,ezjw3s4y3k
ES_LEVC,Aeropuerto de Valencia,AEROPUERTOS,VLC,LEVC,-0.481625,39.4893,ezp8thc3c7
ES_LEVD,Aeropuerto de Valladolid,AEROPUERTOS,VLL,LEVD,-4.85194,41.7061,ezkt386gts
ES_LEVS,Base Aérea Cuatro Vientos,AEROPUERTOS,,LEVS,-3.785144,40.370678,ezjm9v78pz
ES_LEVT,Aeropuerto de Vitoria/Foronda,AEROPUERTOS,VIT,LEVT,-2.72447,42.882801,ezw5fn847j
