geocode,etiqueta,granularidad,gcd_iata,gcd_icao,longitud,latitud,geohash
CL_SCEL,Aeropuerto Internacional Comodoro Arturo Merino Benítez,AEROPUERTOS,SCL,SCEL,-70.785797,-33.393002,66jdj0zrem
CL_SCIE,Aeropuerto de Carriel Sur,AEROPUERTOS,CCP,SCIE,-73.063103,-36.772701,63knc3tp6r
CL_SCTC,Aeropuerto de Maquehue,AEROPUERTOS,PZS,SCTC,-72.6371,-38.7668,63h77ner0b
CL_SCTL,Aeropuerto de Panguilemo,AEROPUERTOS,TLX,SCTL,-71.6017,-35.3778,63tndxtjrk
CM_FKKD,Aeropuerto Internacional Douala,AEROPUERTOS,DLA,FKKD,9.71948,4.00608,s0wyv1m907
CM_FKKR,Aeropuerto Internacional Garoua,AEROPUERTOS,GOU,FKKR,13.3701,9.33589,s39t05xc9b
CM_FKKY,Aeropuerto de Yaoundé,AEROPUERTOS,YAO,FKKY,11.5235,3.83604,s28jy4r4t1
CM_FKYS,Aeropuerto Internacional Yaoundé Nsimalen,AEROPUERTOS,NSI,FKYS,11.5533,3.72256,s28jnvsv7r
CN_VMMC,Aeropuerto Internacional Macau,AEROPUERTOS,MFM,VMMC,113.592003,22.149599,weby0b5nv8
CN_ZBAA,Aeropuerto Internacional Beijing Capital,AEROPUERTOS,PEK,ZBAA,116.584999,40.080101,wx4uhbqee2
CN_ZBBB,Aeropuerto de Beijing Xijiao,AEROPUERTOS,,ZBBB,116.257004,39.9608,wx4em6xu89
CN_ZBDS,Aeropuerto de Ordos Ejin Horo,AEROPUERTOS,DSN,ZBDS,109.861389,39.49,wrn0euytgv
CN_ZBNY,Aeropuerto de Beijing Nanyuan,AEROPUERTOS,NAY,ZBNY,116.388,39.782799,wx4f26ppsg
CN_ZBSJ,Aeropuerto Internacional Shijiazhuang Daguocun,AEROPUERTOS,SJW,ZBSJ,114.696999,38.280701,wwc9cbzc1z
CN_ZBTJ,Aeropuerto Internacional Tianjin Binhai,AEROPUERTOS,TSN,ZBTJ,117.346001,39.124401,wwgqw62u0h
CN_ZGCS,Aeropuerto de Changsha Datuopu,AEROPUERTOS,,ZGCS,113.2208,28.19667,wt082mhceb
CN_ZGGG,Aeropuerto Internacional Guangzhou Baiyun,AEROPUERTOS,CAN,ZGGG,113.299004,23.392401,ws0t44myd5
CN_ZGNN,Aeropuerto de Nanning Wuxu,AEROPUERTOS,NNG,ZGNN,108.171997,22.608299,wkhbte8qyh
CN_ZGNT,Helipuerto Shenzhen Nantou,AEROPUERTOS,,ZGNT,,,
CN_ZGOW,Aeropuerto Internacional Jieyang Chaoshan,AEROPUERTOS,SWA,ZGOW,116.5033,23.552,ws4vgpe07e
CN_ZGSZ,Aeropuerto Internacional Shenzhen Bao'an,AEROPUERTOS,SZX,ZGSZ,113.810997,22.639299,ws0bvc6ekr
CN_ZHCC,Aeropuerto Internacional Zhengzhou Xinzheng,AEROPUERTOS,CGO,ZHCC,113.841003,34.519699,ww0uqs07zd
CN_ZHHH,Aeropuerto Internacional Wuhan Tianhe,AEROPUERTOS,WUH,ZHHH,114.208,30.7838,wt3pnu58xk
CN_ZHWT,Base Aérea Wuhan,AEROPUERTOS,,ZHWT,114.2081,30.78361,wt3pnggz98
CN_ZJHK,Aeropuerto Internacional Haikou Meilan,AEROPUERTOS,HAK,ZJHK,110.459,19.9349,w7w93t1c1q
CN_ZLSN,Aeropuerto de Xi'an Xiguan,AEROPUERTOS,SIA,ZLSN,109.120003,34.376701,wqjee44fb3
CN_ZLXY,Aeropuerto Internacional Xi'an Xianyang,AEROPUERTOS,XIY,ZLXY,108.751999,34.447102,wqj7fwyucj
CN_ZSAM,Aeropuerto Internacional Xiamen Gaoqi,AEROPUERTOS,XMN,ZSAM,118.127998,24.544001,wsk58h45jv
CN_ZSHC,Aeropuerto Internacional Hangzhou Xiaoshan,AEROPUERTOS,HGH,ZSHC,120.433998,30.2295,wtmeux17ee
CN_ZSJN,Aeropuerto de Yaoqiang,AEROPUERTOS,TNA,ZSJN,117.216003,36.857201,wwe3emdhfb
CN_ZSNB,Aeropuerto Internacional Ningbo Lishe,AEROPUERTOS,NGB,ZSNB,121.461998,29.8267,wtq3evvcje
CN_ZSNJ,Aeropuerto de Nanjing Lukou,AEROPUERTOS,NKG,ZSNJ,118.862,31.742001,wtss8f2wt3
CN_ZSOF,Aeropuerto Internacional Hefei Xinqiao,AEROPUERTOS,HFE,ZSOF,117.297997,31.780001,wtekv1mgcm
CN_ZSPD,Aeropuerto Internacional Shanghai Pudong,AEROPUERTOS,PVG,ZSPD,121.805,31.1434,wtw95trxqn
CN_ZSQD,Aeropuerto de Liuting,AEROPUERTOS,TAO,ZSQD,120.374001,36.266102,wwmw74j9me
CN_ZSRG,Base Aérea Rugao,AEROPUERTOS,RUG,ZSRG,120.501656,32.257885,wttxw06eu1
CN_ZSSL,Aeropuerto de Shanghai Longhua,AEROPUERTOS,,ZSSL,121.454002,31.166901,wtw37cb077
CN_ZSSS,Aeropuerto Internacional Shanghai Hongqiao,AEROPUERTOS,SHA,ZSSS,121.335999,31.197901,wtw33p6hvw
CN_ZSWX,Aeropuerto Internacional Sunan Shuofang,AEROPUERTOS,WUX,ZSWX,120.429001,31.4944,wttehmmspj
